Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Untitled,1,3.3V CR2032,
"C1, C5",0402,2,22n,C1532
C10,0603,1,220p,C1603
"C11, C2",CP_Radial_D8.0mm_P3.50mm,2,100u,
"C12, C40, C9",0603,3,47n,C1622
"C13, C65, C66",CP_Radial_D10.0mm_P5.00mm,3,220u,
"C14, C17, C38, C49, C67, C68",0603,6,1u,C15849
"C15, C16, C4, C48, C51, C6",0603,6,10u,C19702
"C18, C33",0603,2,2.2p,C1651
"C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C39, C45, C46, C47, C54, C64, C7",0603,22,100n,C14663
"C34, C35",0402,2,22p,C1555
"C36, C37",0603,2,3.9p,C1662
"C50, C8",0603,2,10n,C57112
C52,0603,1,1.0n,C1588
"C53, C61, C76, C80",CP_Radial_D10.0mm_P5.00mm,4,10u,
"C55, C56, C69, C70",0805,4,1.0n,C46653
"C57, C58, C59, C60",0603,4,220n,C21120
"C62, C63, C75, C79, C81, C82, C83, C84",0805,8,100n,C28233
C71,0805,1,2.2u,C377773
C72,0603,1,2.2u,C23630
"C73, C74",0805,2,10n,C1710
"C77, C78",0603,2,2.2n,C1604
D2,D_SMA_Handsoldering,1,B340LA-13-F,C17101
D4,0603,1,GREEN LED,
D5,D_SMA,1,27Vz,C712317
D6,D_SMB,1,SMBJ30CA,C8837
D7,0603,1,BLUE LED,
D8,D_SOD-323_HandSoldering,1,MM3Z3V3T1G,C75073
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J2,PinHeader_2x35_P2.54mm_Vertical,1,NUCLEO CONNECTOR LEFT,
J3,PinHeader_2x35_P2.54mm_Vertical,1,NUCLEO CONNECTOR RIGHT,
J4,microSD_HC_Wuerth_693072010801,1,Micro_SD_Card,
"J6, J7, J8",RJ45_Amphenol_RJHSE538X,3,BRUHBus,
L2,Untitled,1,15u,
"L3, L4",L_Coilcraft_MSS1260-XXX,2,10u,
Q1,Untitled,1,PMOS,C108357
"Q2, Q6",SOT-363_SC-70-6_Handsoldering,2,BSD235NH6327XT,
"Q3, Q4, Q5",SOP-8_3.76x4.96mm_P1.27mm,3,SP8K80TB1,C17689842
"R1, R31, R32, R48",0603,4,1.0k,C21190
"R10, R34, R43, R44, R49, R5, R51, R52, R53, R54, R60, R69, R75, R76",0603,14,10k,C25804
"R11, R25, R26",0603,3,100k,C25803
"R12, R17, R18, R21, R3, R38, R39, R4, R7, R8",0603,10,2.4k,C22940
"R13, R15, R16, R19",0603,4,22k,C31850
"R14, R20, R24",0603,3,47k,C25819
R2,0603,1,56,C25196
R22,0603,1,3.3,C22979
R23,0603,1,75k,C23242
"R27, R28",0805,2,3.3,C16257
"R29, R30",0603,2,470,C23179
"R33, R35, R37, R58, R59, R63, R64, R67, R68, R73, R74",0805,11,0,C17477
"R36, R45, R46, R50, R55, R62, R70, R77, R78",0603,9,100,C22775
"R41, R42",0603,2,120,C22787
R47,0603,1,6.2k,C4260
"R56, R61, R66, R72",0805,4,10k,C17414
R6,0603,1,3.3k,C22978
R9,0603,1,0,C22859
SW1,SW_Push_1P1T_NO_CK_KMR2,1,SW_Push,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP3, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP4, TP40, TP41, TP42, TP43, TP44, TP45, TP46, TP47, TP48, TP49, TP5, TP50, TP51, TP52, TP53, TP54, TP55, TP56, TP57, TP58, TP59, TP6, TP7, TP8, TP9",TestPoint_Keystone_5015_Micro_Mini,58,RH-5015,C5199798
U1,SOT-23-5,1,XC6221B481MR-G,
"U10, U9",SOIC-8_3.9x4.9mm_P1.27mm,2,TSB712AIDT,C2971690
"U11, U12",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP2562FD-E/SN, C124016
U13,Untitled,1,TPA3116D2QDADRQ1,C2872892
U14,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102APWR,
U2,Untitled,1,TPS5430,C9864
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U5,LQFP-144_20x20mm_P0.5mm,1,STM32H723ZGT6,https://jlcpcb.com/partdetail/STMicroelectronics-STM32H723ZGT6/C730146
"U6, U7, U8",CONN_SD-34829-001_20_ST_MOL,3,MX150 20-pin,
Y1,Untitled,1,16 MHz,
Y2,Untitled,1,32.768 kHz,C2595065
