Designator,Mid X,Mid Y,Rotation,Layer
BT1,109.22,-142.269773,0.0,top
C1,87.122,-72.898,0.0,top
C10,185.928,-149.69,270.0,top
C11,179.352,-163.66,0.0,top
C12,81.534,-68.072,180.0,top
C13,188.976,-163.7,90.0,top
C14,51.816,-75.184,180.0,top
C15,69.342,-127.508,180.0,top
C16,69.342,-117.856,180.0,top
C17,51.7155,-65.532,180.0,top
C18,69.031701,-133.4462,0.0,top
C19,62.630901,-154.8319,90.0,top
C2,200.406,-154.867349,270.0,top
C20,53.436101,-127.7885,270.0,top
C21,55.417301,-154.7281,90.0,top
C22,60.954501,-154.8319,90.0,top
C23,64.307301,-154.8319,90.0,top
C24,69.082501,-149.0418,180.0,top
C25,69.342,-143.256,180.0,top
C26,69.082501,-137.783001,180.0,top
C27,69.031701,-131.9222,180.0,top
C28,58.922501,-127.8074,270.0,top
C29,46.578101,-127.8074,270.0,top
C3,87.63,-74.422,0.0,top
C30,42.158501,-138.4754,0.0,top
C31,42.209301,-143.5554,0.0,top
C32,42.209301,-149.9562,0.0,top
C33,48.152901,-127.8085,90.0,top
C34,53.3253,-158.6208,270.0,top
C35,61.4533,-158.6208,270.0,top
C36,48.4993,-154.7513,90.0,top
C37,52.0553,-154.7513,90.0,top
C38,53.791701,-154.7303,270.0,top
C39,66.3798,-158.3073,0.0,top
C4,195.072,-154.516,270.0,top
C40,75.946,-71.628,0.0,top
C45,75.5885,-100.711,90.0,top
C46,97.028,-93.3969,90.0,top
C47,119.642177,-101.624001,180.0,top
C48,125.891677,-97.306001,0.0,top
C49,125.891677,-95.528001,0.0,top
C5,74.93,-75.692,90.0,top
C50,119.642177,-99.846001,0.0,top
C51,122.843677,-96.798001,90.0,top
C52,132.495677,-95.274001,0.0,top
C53,196.95799,-97.173678,270.0,top
C54,188.82999,-95.763178,270.0,top
C55,133.003677,-86.892001,270.0,top
C56,119.033677,-87.146001,270.0,top
C57,120.811677,-83.844001,0.0,top
C58,124.367677,-83.844001,180.0,top
C59,127.923677,-83.844001,0.0,top
C6,193.294,-154.516,270.0,top
C60,131.479677,-83.844001,180.0,top
C61,207.62599,-97.173678,270.0,top
C62,135.289677,-86.870501,270.0,top
C63,116.747677,-87.146001,270.0,top
C64,190.60799,-97.387678,90.0,top
C65,130.931677,-76.224001,180.0,top
C66,120.343677,-76.224001,0.0,top
C67,112.776,-68.418001,0.0,top
C68,135.128,-70.104,90.0,top
C69,113.03,-66.318001,0.0,top
C7,76.454,-75.8455,90.0,top
C70,135.509,-67.183,0.0,top
C71,177.14599,-98.657678,180.0,top
C72,183.74999,-94.593678,180.0,top
C73,117.348,-63.778001,0.0,top
C74,131.953,-68.67475,90.0,top
C75,178.16199,-95.609678,270.0,top
C76,158.60399,-91.839678,90.0,top
C77,174.09799,-103.330178,90.0,top
C78,174.09799,-99.827178,270.0,top
C79,175.87599,-95.631178,270.0,top
C8,185.166,-145.88,180.0,top
C80,169.27199,-91.839678,90.0,top
C81,56.938443,-66.116891,0.0,top
C82,56.896,-75.438,0.0,top
C83,218.194611,-71.882,0.0,top
C84,205.240611,-72.136,0.0,top
C9,96.774,-67.31,0.0,top
D2,191.262,-149.69,180.0,top
D4,238.745111,-114.099,180.0,top
D5,210.058,-160.274,180.0,top
D6,212.09,-167.268,90.0,top
D7,238.694146,-109.216951,180.0,top
D8,83.096501,-148.3305,90.0,top
J1,31.242,-106.68,90.0,top
J2,111.76,-171.45,90.0,top
J3,111.76,-110.49,90.0,top
J4,32.68,-118.601,90.0,top
J6,232.0875,-150.368,270.0,top
J7,35.6285,-73.148,90.0,top
J8,35.6325,-94.49,90.0,top
JP1,31.75,-146.558,0.0,top
JP2,92.71,-87.63,270.0,top
JP3,237.49,-134.112,180.0,top
L2,178.308,-142.74,0.0,top
L3,107.95,-75.970001,90.0,top
L4,143.256,-76.038001,90.0,top
Q1,210.0072,-139.765,0.0,top
Q2,221.3743,-145.0286,90.0,top
Q3,85.382501,-138.6985,90.0,top
Q4,90.176849,-127.238255,90.0,top
Q5,193.302611,-73.406,0.0,top
Q6,48.26,-82.55,270.0,top
R1,234.95,-114.046,180.0,top
R10,35.2025,-147.9315,270.0,top
R11,207.772,-164.1875,270.0,top
R12,224.282,-147.574,90.0,top
R13,84.2122,-68.4003,270.0,top
R14,87.5142,-65.4558,180.0,top
R15,94.169,-66.2705,90.0,top
R16,94.234,-69.85,90.0,top
R17,223.774,-155.5985,90.0,top
