Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Mouser P/N
BT1,1,3.3V CR2032,,,,614-SMTU2032-C
C2 C11,2,100u,,,,667-EEU-FM1H101
C13 C65 C66,3,220u,,,,667-EEU-FM1H221B 
C53 C61 C76 C80,4,10u,,,,667-EEU-EB2G100PF 
D2,1,B340LA-13-F,,,,621-B340LA-F
D4,1,GREEN LED,,,,859-LTST-C190GKT
D5,1,27Vz,,,,833-SMAF4750A-TP 
D6,1,SMBJ30CA,,,,576-SMBJ30CA 
D7,1,BLUE LED,,,,859-LTST-C191TBKT 
D8,1,MM3Z3V3T1G,,,,863-MM3Z3V3T1G
J4,1,Micro_SD_Card,,,,710-693072010801
J6 J7 J8,3,BRUHBus,,,,737-MTJ88ARX1FSMLG 
L2,1,15u,,,,704-HCM1A1104-150-R 
L3 L4,2,10u,,,,994-MSS1260-103MLD
Q1,1,PMOS,,,,512-FQB22P10TM
Q2 Q6,2,BSD235NH6327XT,,,,726-BSD235NH6327XTSA
Q3 Q4 Q5,3,SP8K80TB1,,,,755-SP8K80TB1 
SW1,1,SW_Push,,,,611-KMR231NG LFS 
U1,1,XC6221B481MR-G,,,,865-XC6221B481MR-G
U2,1,TPS5430,,,,595-TPS5430DDAR
U3,1,AMS1117-3.3,,,,637-LDI1117-3.3H
U5,1,STM32H723ZGT6,,,,511-STM32H723ZGT6
U6 U7 U8,3,MX150 20-pin,,,,538-34830-2001
U9 U10,2,TSB712AIDT,,,,511-TSB712AIDT 
U11 U12,2,MCP2562FD-E/SN,,,,579-MCP2562FD-E/SN 
U13,1,TPA3116D2QDADRQ1,,,,595-TPA3116D2QDADRQ1 
U14,1,PCM5102APWR,,,,595-PCM5102APWR 
Y1,1,16 MHz,,,,520-160-18-28X-AENTR 
Y2,1,32.768 kHz,,,,520-.327-7-1210B-NTR 
